X01,X02,X03,X04,X05,X06,X07,X08,X09,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23
0,31968,-16,1,50,-5,-1,3058,0,35728,30258,28693,1,2556,-4,1,-7,32486,46431,0,1164,14,33318
1274,19627,-19,1,29,-17,-10,1449,1727,22634,18569,22285,2,1848,-4,2,-15,20169,66611,1727,0,14,21869
5192,23536,-19,2,28,-17,-10,10905,9446,22390,42431,18291,2,4093,-8,2,-15,52614,95295,1471,4736,6,18860
704,18952,-19,1,37,-17,-10,1620,1258,18823,16914,18384,2,660,-8,1,-15,17449,46321,1237,958,6,18528
1027,5469,-19,1,27,-17,-10,1034,1234,6248,2797,4193,2,1957,-8,2,-15,3791,50718,1966,9472,6,15471
0,6137,-19,2,57,-5,-13,3168,6307,4462,24858,4831,3,0,-8,2,-19,2809,51052,0,0,6,1409
3102,35677,-19,1,35,-17,-10,1995,5069,21979,51938,20154,2,950,-8,2,-15,45726,48584,1958,1534,6,19017
350,9513,-16,1,45,-5,-4,0,2402,8851,8846,8307,3,1011,-8,2,-7,7320,10104,0,524,6,8894
6432,48320,-19,1,39,-23,-10,9819,14381,29142,71306,44544,2,5228,-8,1,-15,56110,330274,45785,5069,6,24732
581,22830,-19,1,34,-5,-10,1324,2485,20228,18473,18837,3,808,-8,1,-15,18383,52125,1073,606,6,16676
0,0,-10,2,31,-29,-4,388,0,0,32107,0,2,0,-12,1,-7,30748,28570,0,0,-2,0
0,44465,-19,1,23,-17,-10,1886,2057,45526,39725,43991,1,7674,-8,2,-15,44011,49494,1600,1702,14,45576
1860,76938,-19,2,35,-17,-10,3364,2620,46517,86912,73940,2,1790,-8,1,-15,83756,79050,2071,2053,6,48711
0,26892,-19,1,26,-17,-10,2111,2688,8313,25923,28839,3,168,-8,2,-15,24328,34373,3327,1051,6,5787
0,0,-16,1,38,-29,-16,0,0,0,0,0,1,0,-12,1,-23,0,359309,0,0,-2,0
3875,263999,-19,1,56,-17,-10,21925,21951,131464,268201,145668,3,20671,-8,1,-15,281101,319640,7397,4434,6,108597
1082,17022,-19,1,24,-5,-4,4986,2994,18155,10226,19631,2,0,0,2,-15,15600,19120,2716,0,18,17767
5055,33395,-16,2,48,-23,-13,867,31288,8770,0,9200,3,9158,-10,2,-19,856,372750,9773,4510,2,4413
0,53012,-19,1,50,-17,-10,1784,2240,19370,45988,40848,2,191,-8,1,-15,49254,48269,1776,0,6,18607
4763,170253,-19,1,39,-17,-10,8191,9640,139907,186929,153436,2,5600,-8,2,-15,157156,224485,7188,4938,6,127520
0,20254,-19,1,24,-17,-4,4440,0,0,16955,12916,2,0,-8,2,-15,21669,19606,291,0,-2,0
0,30670,-13,1,64,-5,-4,0,1483,29380,30494,27246,2,963,-8,1,-3,28111,49622,0,2403,6,31658
0,19944,-22,2,35,-23,-13,3852,22081,1163,1757,7470,1,1172,-10,1,-19,3419,314890,8021,9396,2,9600
0,-198,-16,1,47,-29,-13,314,0,-198,0,-221,2,0,-12,1,-19,292,205606,0,0,-2,-198
456,484,-22,1,29,-23,-13,469,480,19762,471,17033,1,8259,-8,2,-19,490,155787,18994,7212,6,18025
2069,37827,-19,2,31,-17,-10,3673,5061,40883,30164,42208,2,1555,-8,2,-15,33861,341525,1999,1438,6,40676
1500,55877,-7,1,35,-17,-4,0,0,26980,60371,30184,2,972,-8,1,-3,62914,89008,1317,1000,6,27240
0,1173,-22,1,39,-29,-16,1778,1171,0,9111,0,1,0,-12,2,-19,1922,328039,0,0,-2,0
1499,21745,-13,2,49,-5,-4,1636,1489,26185,19967,23538,3,3399,-4,1,-7,22200,68412,0,1652,14,24780
1524,62340,-19,2,25,-17,-10,3139,3772,37348,58514,36249,1,1884,-8,2,-15,57272,56625,3278,1627,6,40447
2033,59350,-19,2,24,-17,-10,2482,2050,43859,61448,58142,4,1706,-8,2,-15,63866,58146,40556,1546,6,38843
1974,103802,-19,1,26,-17,-10,3892,3630,110739,155887,94794,2,3254,-8,2,-15,106555,181999,3300,3739,6,103827
183926,126790,-19,1,47,-17,-10,6403,9485,6575,179549,17915,1,959,-8,1,-15,150004,336337,1035,3023,6,9234
987,32283,-19,2,28,-17,-10,4364,6420,27436,41181,29929,1,1257,-8,2,-15,38482,293247,5038,2023,6,29179
1835,64153,-19,2,27,-17,-10,2403,2730,47865,71680,55744,3,1695,-8,1,-15,65185,84441,2142,1878,6,51898
0,8287,-25,1,27,-17,-13,16170,8616,20751,2983,24809,4,66,-8,2,-19,15368,157475,18516,1,6,566
0,1834,-19,2,38,-23,-13,2866,2583,433,2047,1939,1,0,-8,1,-19,3063,401208,2351,1069,2,1050
1781,6495,-19,2,50,-17,-4,2290,0,9364,4004,7462,3,1295,-8,1,-15,6851,10081,1137,0,14,9088
7046,90,-16,1,30,-29,-4,0,92,703,18016,96,1,676,-10,2,-7,1569,522491,123,7208,2,6928
8903,185556,-19,1,40,-17,-10,7521,6785,165755,209056,175898,2,6558,-8,2,-15,207473,411893,5851,6073,6,183798
0,0,-25,1,64,-29,-13,2513,0,0,0,0,2,0,-12,1,-19,2403,327699,0,0,-2,0
0,47081,-19,1,29,-17,-10,2334,2591,918,46172,20729,1,1017,-10,2,-15,48662,51261,1656,0,2,0
995,15111,-19,2,45,-17,-10,2001,2035,13409,19136,12838,2,1843,-8,1,-15,19924,151992,1889,2142,6,7517
0,1734,-25,2,31,-23,-16,180,1719,2585,984,1546,2,824,-8,2,-23,166,187183,1676,0,6,2308
4663,64354,-19,1,48,-17,-10,2999,4196,72831,66170,66331,1,2981,-8,1,-15,66897,173170,4843,4802,6,74597
9396,58917,-19,2,36,-17,-10,9405,4837,59986,61792,55460,2,4919,-8,1,-15,53400,124460,2200,4314,6,67330
21445,90124,-19,1,46,-17,-10,5858,6034,130889,79307,92996,2,30739,-8,1,-15,91751,168285,5103,29569,6,157101
21951,51711,-19,2,41,-17,-10,1849,2260,20884,54674,48175,1,471,-8,2,-15,48778,54199,1832,698,6,20386
2622,0,-16,1,42,-29,-16,0,0,0,0,0,2,0,-12,1,-23,0,154577,0,0,-2,0
0,957,-25,1,31,-29,-16,10170,877,104,651,412,1,99,-12,2,-23,9561,135177,457,1464,-2,1561
0,111183,-19,1,38,-17,-10,8001,5060,70114,188327,121669,1,3592,-8,2,-15,206781,215563,5570,0,6,0
0,7769,-16,1,28,-17,-10,0,1378,9882,7235,9982,2,0,-4,2,-7,7510,22358,1436,835,14,10618
5276,138676,-19,1,34,-17,-10,6539,4927,137907,117704,123239,1,7223,-8,2,-15,129291,242017,6125,6538,6,143703
2458,173,-22,1,30,-5,-13,0,189,5755,5341,180,2,5540,-8,2,-19,0,20385,0,2077,6,7639
922,38986,-22,2,58,-23,-13,71085,42219,960,2069,914,3,1012,-10,1,-19,73016,161235,898,966,2,934
2907,65293,-13,2,24,-5,-4,1813,3354,75930,66216,73045,2,2883,-4,2,-7,70896,155604,5046,2661,14,71082
2691,194,-22,2,38,-23,-13,206,198,95707,210,2757,2,93883,-8,1,-19,201,102801,2952,2493,6,101810
0,62924,-19,1,65,-17,-10,51517,1388,11402,281739,50183,1,0,-8,1,-15,78790,409895,0,0,6,0
5683,15389,-19,2,26,-17,-10,10280,2972,18649,23851,19278,1,5113,-8,2,-15,24181,255248,3891,3142,6,10882
823,20335,-13,2,27,-17,-10,1270,1624,22358,19262,23959,1,0,-4,2,-15,19083,66405,2098,902,6,22649
0,92747,-19,2,27,-17,-10,20295,22586,81397,120476,79163,1,40440,-8,2,-15,105443,375342,21316,0,6,24029
0,74064,-19,1,41,-17,-10,3885,3786,79577,71292,78043,1,8944,-8,1,-15,69847,154477,2672,0,18,76073
0,77508,-16,2,36,-5,-4,4814,3833,86778,73509,75022,2,5965,-4,2,-7,81793,186777,0,3032,14,81030
1886,78520,-19,2,35,-17,-10,2689,2620,74094,72704,76452,1,2654,-8,2,-15,66198,117540,2850,1842,6,50125
2851,91281,-19,2,28,-17,-10,3937,5988,94177,82520,81048,3,2679,-8,2,-15,85943,290509,2771,2937,6,89881
0,0,-16,1,39,-29,-16,0,0,0,0,0,2,0,-12,1,-23,0,368196,0,0,-2,0
191,398,-16,2,27,-23,-13,0,413,15835,0,15240,1,1189,-8,1,-23,0,237881,14133,1163,6,10480
2948,-52,-25,2,41,-29,-16,0,0,-49,-54,-51,1,0,-12,1,-23,-48,185503,0,0,-2,-53
1167,0,-22,2,33,-23,-13,651,0,0,265,606,2,0,-10,1,-19,662,167960,659,376,2,366
3276,8409,-13,2,33,-17,-10,2132,3041,13872,3424,10228,1,2919,-8,2,-15,4642,289015,2970,3055,6,15281
1092,24809,-19,1,38,-17,-10,1415,1459,25716,21727,23464,1,1459,-8,1,-15,24238,181252,1873,1173,6,26212
1425,18526,-19,1,23,-5,-10,1467,3185,17450,14357,17255,2,738,-8,2,-15,15309,30615,0,698,6,18749
1635,35534,-13,1,58,-5,-4,1934,0,39535,34768,41904,3,1629,-4,1,-7,39926,182746,3089,1751,14,41890
507,952,-22,2,32,-23,-13,1573,973,1986,3392,585,1,1663,-10,0,-19,1525,208514,629,270,2,274
293,319,-22,2,40,-23,-4,302,0,495,677,963,2,0,-4,1,-7,686,233323,991,325,2,334
113,33957,-22,1,33,-23,-10,6258,27261,5318,4344,14461,3,124,-8,2,-19,6550,203220,13162,12662,2,13887
0,23418,-13,2,43,-17,-10,1640,1373,25223,22464,25189,3,1945,-8,2,-15,26042,29305,997,861,14,27218
0,26029,-19,1,25,-17,-10,2254,2317,29046,21753,25058,2,3675,-8,2,-15,23004,50696,2267,0,18,29096
0,1369,-25,1,33,-29,-16,1003,1369,3978,0,0,2,3712,-12,2,-23,958,133988,0,1143,-2,0
809,7131,-19,2,51,-23,-13,1034,7102,377,12627,2749,2,416,-10,1,-15,6583,29440,2672,0,2,0
590,29110,-13,2,28,-17,-10,1571,2003,29947,25930,30600,2,1238,-8,1,-7,26527,28392,1174,1236,6,27606
0,0,-19,2,22,-29,-10,1053,0,0,8259,0,2,0,-12,2,-15,10135,125151,0,0,-2,0
7002,179047,-19,2,28,-17,-10,9935,7189,169911,215485,169102,1,7201,-8,2,-15,253472,241840,6391,6412,6,158950
3235,95311,-16,1,27,1,-4,5575,8815,89191,84491,92526,2,0,-4,2,-7,84694,110772,0,7485,14,86995
28744,51490,-22,2,46,-23,-13,10633,50252,62339,41655,19726,1,55871,-10,1,-19,10691,236035,20755,45749,2,42457
2269,1939,-22,2,44,-23,-4,4023,0,2301,8291,2558,2,0,-4,1,-19,4137,390769,5074,2105,2,2343
1136,360,-16,2,32,-17,-13,0,337,-230,0,299,1,0,-8,2,-23,0,316464,0,0,-2,-228
1570,188843,-19,1,33,-5,-4,16189,6175,126200,169947,145644,1,4886,-8,2,-15,190475,205780,0,583,6,14974
964,58054,-19,1,26,-17,-10,2847,1768,27617,61008,27529,1,1052,-8,2,-15,58280,60267,959,1207,6,27821
335,-56,-16,1,38,-23,-16,0,0,8678,-56,7140,2,1002,-8,2,-23,-55,10714,8420,913,6,8495
3336,8146,-16,2,23,-17,-10,0,1525,10472,7401,8313,2,1115,-8,2,-7,6769,105856,1488,0,14,9995
291,16098,-19,1,34,-17,-10,3170,2090,14816,39695,16351,2,895,-8,2,-15,16751,20605,1657,5207,6,19541
70021,2479,-22,1,29,-23,-13,1315,2721,161149,35291,104415,1,97191,-8,2,-15,18980,507454,107622,66971,6,212293
334,17503,-19,1,42,-17,-10,17622,4649,306,18172,326,1,335,-10,1,-19,18124,212346,0,317,2,305
1435,52267,-19,2,29,-17,-10,1948,2193,46880,47318,45882,2,1821,-8,1,-15,48456,110615,1635,1956,6,46625
716,122566,-19,2,39,-17,-10,4552,4055,71228,138806,93130,2,2437,-8,1,-15,125560,514061,3854,11240,6,56252
4081,94295,-19,1,24,-17,-10,6212,4473,99691,170435,102693,2,3562,-8,2,-15,166531,305206,4179,3915,6,98873
